Group,Commodity Code,SRC,SLC,Attachment,Price L,Price H,Month Count,Demand L,Demand H,Sales L,Sales H,Modifier,Trending Cap,Warehouse Min,Stocking weeks,Spiking Modifier,Spiking Warehouse<BR>Stocking Min
Default,Default,Default,Default,Default,0,"9,999,999",2,31,32,63,999999,2.06,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,32,33,0,33,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",2,32,33,33,65,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",2,32,33,65,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,33,34,0,34,1.94,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",2,33,34,34,67,1.94,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",2,33,34,67,999999,1.94,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,34,35,0,35,1.88,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",2,34,35,35,69,1.88,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",2,34,35,69,999999,1.88,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,35,36,0,36,1.83,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",2,35,36,36,71,1.83,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",2,35,36,71,999999,1.83,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,36,37,0,37,1.78,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",2,36,37,37,73,1.78,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",2,36,37,73,999999,1.78,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,37,100,0,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",2,100,999999,0,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,0,2,0,2,2,13,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,0,2,2,3,4,13,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,0,2,3,999999,12,13,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,2,3,0,3,6,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,2,3,3,5,6,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,2,3,5,999999,6,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,3,4,0,4,4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,3,4,4,7,4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,3,4,7,999999,4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,4,5,0,5,3,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,4,5,5,9,3,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,4,5,9,999999,3,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,5,6,0,6,2.4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,5,6,6,11,2.4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,5,6,11,999999,2.4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,6,7,0,7,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,6,7,7,13,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,6,7,13,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,7,8,0,8,1.71,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,7,8,8,15,1.71,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,7,8,15,999999,1.71,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,8,9,0,9,3,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,8,9,9,17,3,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,8,9,17,999999,3,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,9,10,0,10,2.67,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,9,10,10,19,2.67,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,9,10,19,999999,2.67,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,10,11,0,11,2.4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,10,11,11,21,2.4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,10,11,21,999999,2.4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,11,12,0,12,2.18,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,11,12,12,23,2.18,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,11,12,23,999999,2.18,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,12,13,0,13,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,12,13,13,25,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,12,13,25,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,13,14,0,14,1.85,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,13,14,14,27,1.85,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,13,14,27,999999,1.85,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,14,15,0,15,2.57,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,14,15,15,29,2.57,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,14,15,29,999999,2.57,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,15,16,0,16,2.4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,15,16,16,31,2.4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,15,16,31,999999,2.4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,16,17,0,17,2.25,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,16,17,17,33,2.25,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,16,17,33,999999,2.25,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,17,18,0,18,2.12,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,17,18,18,35,2.12,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,17,18,35,999999,2.12,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,18,19,0,19,2.67,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,18,19,19,37,2.67,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,18,19,37,999999,2.67,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,19,20,0,20,2.53,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,19,20,20,39,2.53,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,19,20,39,999999,2.53,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,20,21,0,21,2.4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,20,21,21,41,2.4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,20,21,41,999999,2.4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,21,22,0,22,2.29,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,21,22,22,43,2.29,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,21,22,43,999999,2.29,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,22,23,0,23,2.18,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,22,23,23,45,2.18,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,22,23,45,999999,2.18,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,23,24,0,24,2.09,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,23,24,24,47,2.09,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,23,24,47,999999,2.09,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,24,25,0,25,2.5,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,24,25,25,49,2.5,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,24,25,49,999999,2.5,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,25,26,0,26,2.4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,25,26,26,51,2.4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,25,26,51,999999,2.4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,26,27,0,27,2.31,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,26,27,27,53,2.31,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,26,27,53,999999,2.31,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,27,28,0,28,2.22,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,27,28,28,55,2.22,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,27,28,55,999999,2.22,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,28,29,0,29,2.14,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,28,29,29,57,2.14,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,28,29,57,999999,2.14,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,29,30,0,30,2.07,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,29,30,30,59,2.07,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,29,30,59,999999,2.07,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,30,31,0,31,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,30,31,31,61,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,30,31,61,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,31,32,0,32,1.94,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,31,32,32,63,1.94,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,31,32,63,999999,1.94,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,32,33,0,33,1.88,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,32,33,33,65,1.88,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,32,33,65,999999,1.88,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,33,34,0,34,1.82,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,33,34,34,67,1.82,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,33,34,67,999999,1.82,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,34,35,0,35,1.76,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,34,35,35,69,1.76,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,34,35,69,999999,1.76,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,35,36,0,36,1.71,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,35,36,36,71,1.71,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,35,36,71,999999,1.71,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,36,37,0,37,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",3,36,37,37,73,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",3,36,37,73,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,37,100,0,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",3,100,999999,0,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,0,2,0,2,2.67,13,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,0,2,2,3,5.33,13,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,0,2,3,999999,16,13,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,2,3,0,3,8,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,2,3,3,5,8,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,2,3,5,999999,8,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,3,4,0,4,5.33,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,3,4,4,7,5.33,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,3,4,7,999999,5.33,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,4,5,0,5,4,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,4,5,5,9,4,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,4,5,9,999999,4,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,5,6,0,6,3.2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,5,6,6,11,3.2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,5,6,11,999999,3.2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,6,7,0,7,2.67,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,6,7,7,13,2.67,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,6,7,13,999999,2.67,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,7,8,0,8,2.29,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,7,8,8,15,2.29,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,7,8,15,999999,2.29,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,8,9,0,9,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,8,9,9,17,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,8,9,17,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,9,10,0,10,1.78,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,9,10,10,19,1.78,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,9,10,19,999999,1.78,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,10,11,0,11,1.6,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,10,11,11,21,1.6,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,10,11,21,999999,1.6,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,11,12,0,12,2.91,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,11,12,12,23,2.91,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,11,12,23,999999,2.91,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,12,13,0,13,2.67,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,12,13,13,25,2.67,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,12,13,25,999999,2.67,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,13,14,0,14,2.46,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,13,14,14,27,2.46,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,13,14,27,999999,2.46,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,14,15,0,15,2.29,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,14,15,15,29,2.29,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,14,15,29,999999,2.29,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,15,16,0,16,2.13,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,15,16,16,31,2.13,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,15,16,31,999999,2.13,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,16,17,0,17,2,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,16,17,17,33,2,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,16,17,33,999999,2,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,17,18,0,18,1.88,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,17,18,18,35,1.88,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,17,18,35,999999,1.88,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,18,19,0,19,2.67,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,18,19,19,37,2.67,1,2,4,1,2
Default,Default,Default,Default,Default,0,"9,999,999",4,18,19,37,999999,2.67,1,3,4,1,3
Default,Default,Default,Default,Default,0,"9,999,999",4,19,20,0,20,2.53,1,1,4,1,1
Default,Default,Default,Default,Default,0,"9,999,999",4,19,20,20,39,2.53,1,2,4,1,2
