"DataflowName","Workspace","Category","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","CUProfile","Status","Notes","DataflowId"
"df_Dim_AdjustmentType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","afe6e903-ae90-4209-99b1-250b9a19fbe8"
"df_Dim_Branch","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","6ecdd9b7-ee9a-4a16-98df-ea2404fe3324"
"df_Dim_Branch12_Parts","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ecdafdc3-ee30-4426-9ebe-09382a526c42"
"df_Dim_BranchFranchise","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","a2b8a065-f989-4882-8b1c-933336356c9f"
"df_Dim_BranchPartInventory","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","28b1717f-a35f-4820-b020-ff990c57442e"
"df_Dim_BranchUserAccess","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ca11ed29-0352-421f-9cfe-b738e83d081e"
"df_Dim_CommodityCode","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d389c8e0-12c5-4ad9-8c2b-00e4c91a82f8"
"df_Dim_Customer","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d6f7eb7c-06a8-45f4-ac89-ce452b223db8"
"df_Dim_Date","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","434cc5ec-29e2-4093-b95b-ae2c5ae40d90"
"df_Dim_DealerGroupCode","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","28a80956-959f-4472-a442-d648f23882aa"
"df_Dim_Franchise","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5cda755b-e129-45b0-83c1-2dfac15614fe"
"df_Dim_InvoiceLookup","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","81dda76b-3c12-4a3a-b6f3-431d69af2d5a"
"df_Dim_InvoiceType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","1a6d72db-5d64-45dd-bde1-a0e55af3c1ba"
"df_Dim_JobCode","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","994604c6-01e9-4e91-8011-bd0e3969bf4f"
"df_Dim_JobType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","25ec8ed1-95fb-4028-8ddc-fd8f01e713db"
"df_Dim_Location","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","fd3cdedf-ba6d-447e-843a-21b961285b6c"
"df_Dim_ModuleType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b44f85b5-3ddb-46e5-8b15-2fce0452a8bc"
"df_Dim_Part","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8cfb4e20-a5d5-431f-9750-62bada6d30d2"
"df_Dim_PartDemands","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","11999b6e-fc70-453b-b0c4-91417a36fa35"
"df_Dim_PaymentMethod","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0103a6f8-c83c-4460-9ffe-e1ad49ad5642"
"df_Dim_PromoType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","96c2492e-3000-4e24-b78c-03e522bd3b27"
"df_Dim_RepairOrder","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","7da0b5bf-5d72-4b3e-9faf-ada80b028f96"
"df_Dim_Salesperson","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","16a4dafa-6efa-40fe-b678-5b421a2f7dc3"
"df_Dim_SLC","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","16f17b3f-bd92-49e0-9a19-968ac50bd868"
"df_Dim_SlicerControl","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","8d6cce3f-e5fc-43df-910a-237e0edc000d"
"df_Dim_Source","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3a88a8b1-2aae-4fee-b6f5-3fc46366dc9a"
"df_Dim_Technicans","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","60982906-cc0d-455b-a187-530a9b738965"
"df_Dim_UniqueCustomers","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0d288c86-16bc-4fb8-92a7-a5763fc9d5f0"
"df_Dim_Vehicle","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","1cd56ec0-bb4d-4015-b9ba-4ba64ae80c92"
"df_Dim_VendorCode","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","f5fea865-b290-4456-adc4-0aaf419af1b8"
"df_Dim_WKCDPART","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","31b74886-e52c-4fa7-b18d-9d681668693e"
"df_Dim_WkCodeFl","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","7ffc07ef-01db-4284-9433-d4dd5d5a0150"
"df_Dim_WorkOrderLookup","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","ad278814-ace7-4e36-817b-9244fb42dbe0"
"df_Dim_WorkOrderMaster","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","f8ea0151-f8a7-4c41-b45d-d86e7235008b"
"df_Dim_WorkOrderStatus","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","065735ae-0068-4c2e-ad51-649d19ddc1e1"
"df_Dim_WorkOrderType","LH_Master_Data","Dimension","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","9fe296a6-5fab-46b6-b53c-00337c72001c"
"df_Engaged_Acres","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","e7e70932-0b80-4353-a6dd-8df8915aecbb"
"df_Fact_AdjustmentPairs","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","91050d94-d83e-4680-bf9b-6101ed29543a"
"df_Fact_Branch12_Transactions","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","00f5fd1b-628e-45b7-a458-89528bac8d09"
"df_Fact_CustomerPerformance","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","cd83c668-a022-477e-ba15-4e54dfe2053d"
"df_Fact_Equipment_Sales","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","c17d82d1-76fa-4058-ad06-73ecdb0e3a1c"
"df_Fact_First_Pass_Fill","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","fa540802-f021-49e2-ad61-9ffe6a738c5f"
"df_Fact_InSalOrd_InSalPar","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b77e8d7e-b874-414a-a137-a2d78bbbd53b"
"df_Fact_InternalWorkOrders","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1e07ddcb-abfb-4050-bbf0-45acb054b5f2"
"df_Fact_InTrans_UniqueCustomers","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a101a36a-c5cb-446f-942d-25516f6674d0"
"df_Fact_Inventory","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","c1fe617e-f7c9-40d2-8856-1a366070c9ee"
"df_Fact_Invoice_InventoryAnalysis","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","f3818dfc-bd3a-473d-a28b-e77840a35d40"
"df_Fact_Invoice_UniqueCustomers","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","882712b7-ce77-4230-bbcd-8d594ad5cd94"
"df_Fact_InvoiceHeader","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","edd703b0-8572-4dbc-aa7a-cbdc1bd7bead"
"df_Fact_JobCodeFrequency_Branch","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","255defd1-6f22-47d1-a671-2b24e5ea5f5e"
"df_Fact_JobCodePartFrequency","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0d5575a8-9fd2-4c25-b933-50f3936e9010"
"df_Fact_LaborInvoiced","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","8c8c56a5-d3aa-4f3f-8854-f09fb2abc768"
"df_Fact_LaborJobs","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","15112239-a2e3-49b6-a5b1-2ac266eb4a1e"
"df_Fact_LaborJobSummary","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b56bdeb-a98c-4f88-b213-c40b288c2351"
"df_Fact_LaborPunches","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","89307c3a-c7ed-4e79-84d2-995f8a114fc9"
"df_Fact_LaborWIP","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","50fa4848-ee96-4683-8161-f39e9ff3fc3d"
"df_Fact_Machines_Serviced","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","28af004d-2e45-4d5f-914a-9296925827e3"
"df_Fact_MDInvoices_Closed","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","88ac7332-fa57-449f-b321-ebd0dbdeed6b"
"df_Fact_MDInvoices_NoFreight","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","874bb616-1f78-4f42-b0ad-e63809545749"
"df_Fact_NegativeOnHand_OnHandNoBin","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","67f5355a-ddcc-4a19-8abc-a6dfbca48ac6"
"df_Fact_OpenOrderParts","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d81d8707-c1f6-4140-bd84-b5806a3e6490"
"df_Fact_OpenOrders","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8d5a0b4a-95e5-4e42-8f67-efb861ebf496"
"df_Fact_Part_Transactions","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","3c083680-0474-4125-ab86-6fe40643a348"
"df_Fact_Parts_Details","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","04ad0b4f-991b-43ed-8f89-d2904646e6fb"
"df_Fact_Parts_Invoices","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","9149d9f6-2b50-46bd-97f7-a8802cbbe331"
"df_Fact_Parts_With_Open_Orders","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8acc22e2-c771-422b-a606-320087e02f99"
"df_Fact_PartsAdjustments","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","2144ca39-bef5-4a3f-896e-f8241cc6c648"
"df_Fact_PartSales_24Hours","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1c5666ee-a319-4748-a4e7-026b0a2af750"
"df_Fact_PartsPromo","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8310b7c3-8f57-4a9b-af44-be36bd8714d5"
"df_Fact_PartTransactions","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","61ed78f7-8622-4a1b-ac26-7e8d0541f396"
"df_Fact_PendingInspections","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","35ada71b-e719-470e-90f9-fe15e76bd638"
"df_Fact_Planter_Inspection_Part_Sales","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5198c504-d6bd-4b5e-8d16-16ac2eb625e7"
"df_Fact_Service_Detail","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","4896ffbe-d8ed-4843-aaf5-19545276f2ae"
"df_Fact_Service_Invoices","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","af0cbcab-89ab-4fc6-b647-376bc0f9c628"
"df_Fact_Service_Parts_Detail","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","93460bc7-f766-46b3-8e81-06e8040b5eca"
"df_Fact_ServiceTimeSheet_Audit","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","13d22b14-2889-423d-8972-0f01b1d4c9a2"
"df_Fact_Top50_JobCodes","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","16324bfe-cf66-44a6-b644-416be32c753d"
"df_Fact_Transfers","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0d3d6a4f-096e-4a01-9ac7-1811ce778550"
"df_Fact_WarrantyClaims","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","b7b22140-edc7-4b1e-8a3f-d784a4192303"
"df_Fact_WorkOrderComprehensive","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","378288bb-c878-44c1-9c23-57096903bf18"
"df_Fact_WorkOrderHeader","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","e6775018-93e5-45af-a2ad-ec08d641e928"
"df_Fact_WorkOrderJobs","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","3186cdc0-c24c-4911-895b-5a3cbf44e582"
"df_Fact_WorkOrderLabor","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","160c213f-365a-4cc1-9c67-4fb39f6ab90c"
"df_Fact_WorkOrderParts","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","97eacf29-4ac4-4dc9-83a6-dc64a292285c"
"df_FactPartTransactions_Incremental","LH_Master_Data","FactTable","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","72ee85ef-cdda-46c6-b5ae-d507e74aeb1b"
"df_GlMaster_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","c6f18553-d57d-471c-8f24-c5ceff808d2f"
"df_GlTrans_Full_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","43249d2c-9881-4b0d-9399-1ebded780d89"
"df_GlTrans_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","bc446f47-b623-42c7-8c29-aab5b473cf52"
"df_InHist_PmManage_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","4da865da-2298-45a8-afa4-f64260c55fed"
"df_InMaster_Parts_Ordering_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1103d1de-9042-4226-9d3a-f4e42fcb274a"
"df_InMaster_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ba161336-268a-44b9-b123-0ed46d1b2110"
"df_INSALORD_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","11fbbb6a-3761-4413-a308-6cf175dd46e4"
"df_Insalpar_Audit_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5e7c46f8-1376-4930-98ec-3e6dc8e23ff0"
"df_INSALPAR_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","2fe2672f-a592-4848-b714-8bea2941b02e"
"df_InTrans_Incremental","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","0e3bc9ec-acb9-4498-8ce5-a508a968f659"
"df_InTrans_PartsCounter_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","55cd9b2c-f353-476f-a5ba-ac815b06639f"
"df_INTRANS_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","af4de861-78bd-4266-9e9f-224df87a0e0b"
"df_Invoice_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","24b33a07-d062-4f3b-a2c1-431e4ff2616d"
"df_JDIS_PART_INFORMATION_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b7af2e1-fcdd-4466-a1a8-7b894baba501"
"df_jdis_Part_Information_Verification","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","2a27db73-0496-4c05-bacc-71ee6f1aaf2a"
"df_NonJD_Parts_Ordering_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d99415ce-9f83-422d-b124-9901c41ccc18"
"df_Param_FranchiseScope","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","75632827-d420-4f3d-abc3-ab048c112587"
"df_Param_ROP_Matrix","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","fdad04df-da69-4bac-8585-dd3672b82946"
"df_Part_Master_Duplicate_Analysis","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","64d1089f-50ea-4f0d-81f1-6ea5cd3ef19f"
"DF_PartMaster_Snapshot_Daily","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","f23349c1-6919-4c2c-82fe-4448e50eb650"
"DF_PartMaster_Snapshot_Weekly","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","969d5fa4-6618-4d5d-b152-0b54eecfadd9"
