"DataflowName","DataflowId","WorkspaceId","Category","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","Status","Notes"
"df_Dim_Source","3a88a8b1-2aae-4fee-b6f5-3fc46366dc9a","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_SLC","16f17b3f-bd92-49e0-9a19-968ac50bd868","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_DealerGroupCode","28a80956-959f-4472-a442-d648f23882aa","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_VendorCode","f5fea865-b290-4456-adc4-0aaf419af1b8","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_CommodityCode","d389c8e0-12c5-4ad9-8c2b-00e4c91a82f8","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Branch","6ecdd9b7-ee9a-4a16-98df-ea2404fe3324","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_SlicerControl","8d6cce3f-e5fc-43df-910a-237e0edc000d","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Transform_jdis_Part_Information","c4c20f3d-0ec7-4671-af1c-46b50738dce7","b48cdb35-7ce3-46de-96df-d70db77649cb","Transformation","Daily","02:00","High","","5","Active",""
"df_jdis_Part_Information_Verification","2a27db73-0496-4c05-bacc-71ee6f1aaf2a","b48cdb35-7ce3-46de-96df-d70db77649cb","AdHoc","Daily","02:00","High","","5","Active",""
"df_Dim_Customer","d6f7eb7c-06a8-45f4-ac89-ce452b223db8","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Vehicle","1cd56ec0-bb4d-4015-b9ba-4ba64ae80c92","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Technicans","60982906-cc0d-455b-a187-530a9b738965","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Location","fd3cdedf-ba6d-447e-843a-21b961285b6c","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_BranchOperational_Raw","9ac2bae8-cb96-4a24-8c7c-c648cf3735cb","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Dim_JobType","25ec8ed1-95fb-4028-8ddc-fd8f01e713db","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_WorkOrderStatus","065735ae-0068-4c2e-ad51-649d19ddc1e1","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_RepairOrderDetail_Raw","1af5189f-0cec-4345-b6c0-52eec21bb79f","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Technician_Raw","d93ac990-9a7f-44e9-9905-1686e1e8fae2","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Dim_JobCode","994604c6-01e9-4e91-8011-bd0e3969bf4f","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_TechnicianPunchedDetail_Raw","3b1d5198-4a20-4e20-ae1c-cb255454ba80","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Dim_WorkOrderLookup","ad278814-ace7-4e36-817b-9244fb42dbe0","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Invoice_Raw","24b33a07-d062-4f3b-a2c1-431e4ff2616d","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Dim_InvoiceLookup","81dda76b-3c12-4a3a-b6f3-431d69af2d5a","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_ArMaster_Customer_Raw","dd67cada-c4a7-4c07-8b30-750e77327617","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_Invoice_UniqueCustomers","882712b7-ce77-4230-bbcd-8d594ad5cd94","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_InTrans_UniqueCustomers","a101a36a-c5cb-446f-942d-25516f6674d0","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Customer_ID_Analysis","227e91cc-5000-47fe-a9a3-646e5b4d04a8","b48cdb35-7ce3-46de-96df-d70db77649cb","AdHoc","Daily","02:00","High","","5","Active",""
"df_Dim_UniqueCustomers","0d288c86-16bc-4fb8-92a7-a5763fc9d5f0","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_WorkOrderType","9fe296a6-5fab-46b6-b53c-00337c72001c","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Fact_WorkOrderJobs","3186cdc0-c24c-4911-895b-5a3cbf44e582","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_InvoiceHeader","edd703b0-8572-4dbc-aa7a-cbdc1bd7bead","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_WorkOrderHeader","e6775018-93e5-45af-a2ad-ec08d641e928","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_WorkOrderLabor","160c213f-365a-4cc1-9c67-4fb39f6ab90c","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_ArMaster_Contact_Raw","bcd34b05-a284-44d8-aca3-5b5f712836b7","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_WorkOrderParts","97eacf29-4ac4-4dc9-83a6-dc64a292285c","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_WarClaim_Raw","d66e8fb1-33f5-4b95-b422-edf9cbc66602","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_WarrantyClaims","b7b22140-edc7-4b1e-8a3f-d784a4192303","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_VhStockAccess_Raw","b5cb091c-a3e6-4f5a-b879-f9bbe18fdeed","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_CustomerPerformance","cd83c668-a022-477e-ba15-4e54dfe2053d","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_CustomerAnatomy_Raw","a7c8f332-a844-446a-97bc-ea6e677dcb8f","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WkCdDesc_Raw","3738f1dc-7064-4a91-8391-81403d8aeb66","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Inactive","Deleted - was causing refresh hangs"
"df_Dim_WorkOrderMaster","f8ea0151-f8a7-4c41-b45d-d86e7235008b","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"Equipment Service - Data Quality Validation","305b9935-ae1e-47b1-8289-4367786c4268","b48cdb35-7ce3-46de-96df-d70db77649cb","AdHoc","Daily","02:00","High","","5","Active",""
"df_TechnicianInvoiceDetail_Raw","8a2826d7-808f-4d8b-ad4b-05de29829b3d","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_LaborPunches","89307c3a-c7ed-4e79-84d2-995f8a114fc9","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_LaborJobs","15112239-a2e3-49b6-a5b1-2ac266eb4a1e","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_LaborInvoiced","8c8c56a5-d3aa-4f3f-8854-f09fb2abc768","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_LaborWIP","50fa4848-ee96-4683-8161-f39e9ff3fc3d","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_LaborJobSummary","5b56bdeb-a98c-4f88-b213-c40b288c2351","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_WorkOrderComprehensive","378288bb-c878-44c1-9c23-57096903bf18","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_InHist_PmManage_Raw","4da865da-2298-45a8-afa4-f64260c55fed","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Fact_First_Pass_Fill","fa540802-f021-49e2-ad61-9ffe6a738c5f","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Dim_ModuleType","b44f85b5-3ddb-46e5-8b15-2fce0452a8bc","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Fact_Invoice_InventoryAnalysis","f3818dfc-bd3a-473d-a28b-e77840a35d40","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_Machines_Serviced","28af004d-2e45-4d5f-914a-9296925827e3","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_Top50_JobCodes","16324bfe-cf66-44a6-b644-416be32c753d","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Dim_Branch12_Parts","ecdafdc3-ee30-4426-9ebe-09382a526c42","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Fact_Branch12_Transactions","00f5fd1b-628e-45b7-a458-89528bac8d09","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Dim_PaymentMethod","0103a6f8-c83c-4460-9ffe-e1ad49ad5642","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
