"DataflowName","Workspace","Category","StructureType","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","CUProfile","Status","Notes","DataflowId","WorkspaceId"
"df_Dim_Branch12_Parts","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ecdafdc3-ee30-4426-9ebe-09382a526c42","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_BranchFranchise","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a2b8a065-f989-4882-8b1c-933336356c9f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_CommodityCode","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d389c8e0-12c5-4ad9-8c2b-00e4c91a82f8","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Customer","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d6f7eb7c-06a8-45f4-ac89-ce452b223db8","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Date","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","434cc5ec-29e2-4093-b95b-ae2c5ae40d90","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_DealerGroupCode","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","28a80956-959f-4472-a442-d648f23882aa","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Franchise","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5cda755b-e129-45b0-83c1-2dfac15614fe","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_InvoiceLookup","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","81dda76b-3c12-4a3a-b6f3-431d69af2d5a","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_JobCode","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","994604c6-01e9-4e91-8011-bd0e3969bf4f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_JobType","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","25ec8ed1-95fb-4028-8ddc-fd8f01e713db","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Location","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","fd3cdedf-ba6d-447e-843a-21b961285b6c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_ModuleType","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b44f85b5-3ddb-46e5-8b15-2fce0452a8bc","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Part","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8cfb4e20-a5d5-431f-9750-62bada6d30d2","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_PaymentMethod","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0103a6f8-c83c-4460-9ffe-e1ad49ad5642","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_SLC","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","16f17b3f-bd92-49e0-9a19-968ac50bd868","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_SlicerControl","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8d6cce3f-e5fc-43df-910a-237e0edc000d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Source","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3a88a8b1-2aae-4fee-b6f5-3fc46366dc9a","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Technicans","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","60982906-cc0d-455b-a187-530a9b738965","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_UniqueCustomers","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","0d288c86-16bc-4fb8-92a7-a5763fc9d5f0","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Vehicle","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1cd56ec0-bb4d-4015-b9ba-4ba64ae80c92","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_VendorCode","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","f5fea865-b290-4456-adc4-0aaf419af1b8","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_WorkOrderLookup","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ad278814-ace7-4e36-817b-9244fb42dbe0","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_WorkOrderMaster","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","f8ea0151-f8a7-4c41-b45d-d86e7235008b","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_WorkOrderStatus","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","065735ae-0068-4c2e-ad51-649d19ddc1e1","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_WorkOrderType","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","9fe296a6-5fab-46b6-b53c-00337c72001c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Branch12_Transactions","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","00f5fd1b-628e-45b7-a458-89528bac8d09","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_CustomerPerformance","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","cd83c668-a022-477e-ba15-4e54dfe2053d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_First_Pass_Fill","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","fa540802-f021-49e2-ad61-9ffe6a738c5f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_InTrans_UniqueCustomers","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a101a36a-c5cb-446f-942d-25516f6674d0","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Inventory","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","c1fe617e-f7c9-40d2-8856-1a366070c9ee","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Invoice_InventoryAnalysis","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","f3818dfc-bd3a-473d-a28b-e77840a35d40","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Invoice_UniqueCustomers","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","882712b7-ce77-4230-bbcd-8d594ad5cd94","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_InvoiceHeader","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","edd703b0-8572-4dbc-aa7a-cbdc1bd7bead","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_LaborInvoiced","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8c8c56a5-d3aa-4f3f-8854-f09fb2abc768","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_LaborJobs","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","15112239-a2e3-49b6-a5b1-2ac266eb4a1e","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_LaborJobSummary","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b56bdeb-a98c-4f88-b213-c40b288c2351","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_LaborPunches","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","89307c3a-c7ed-4e79-84d2-995f8a114fc9","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_LaborWIP","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","50fa4848-ee96-4683-8161-f39e9ff3fc3d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Machines_Serviced","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","28af004d-2e45-4d5f-914a-9296925827e3","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Part_Transactions","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3c083680-0474-4125-ab86-6fe40643a348","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_Top50_JobCodes","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","16324bfe-cf66-44a6-b644-416be32c753d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WarrantyClaims","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b7b22140-edc7-4b1e-8a3f-d784a4192303","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WorkOrderComprehensive","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","378288bb-c878-44c1-9c23-57096903bf18","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WorkOrderHeader","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","e6775018-93e5-45af-a2ad-ec08d641e928","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WorkOrderJobs","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3186cdc0-c24c-4911-895b-5a3cbf44e582","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WorkOrderLabor","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","160c213f-365a-4cc1-9c67-4fb39f6ab90c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Fact_WorkOrderParts","LH_Master_Data","FactTable","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","97eacf29-4ac4-4dc9-83a6-dc64a292285c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_InHist_PmManage_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","4da865da-2298-45a8-afa4-f64260c55fed","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_INSALORD_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","11fbbb6a-3761-4413-a308-6cf175dd46e4","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_INSALPAR_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","2fe2672f-a592-4848-b714-8bea2941b02e","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_INTRANS_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","af4de861-78bd-4266-9e9f-224df87a0e0b","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Invoice_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","24b33a07-d062-4f3b-a2c1-431e4ff2616d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_JDIS_PART_INFORMATION_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b7af2e1-fcdd-4466-a1a8-7b894baba501","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_jdis_Part_Information_Verification","LH_Master_Data","AdHoc","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","2a27db73-0496-4c05-bacc-71ee6f1aaf2a","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_RepairOrderDetail_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1af5189f-0cec-4345-b6c0-52eec21bb79f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Technician_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d93ac990-9a7f-44e9-9905-1686e1e8fae2","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_TechnicianInvoiceDetail_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8a2826d7-808f-4d8b-ad4b-05de29829b3d","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_TechnicianPunchedDetail_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3b1d5198-4a20-4e20-ae1c-cb255454ba80","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Transform_Customers","LH_Master_Data","Transformation","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","26204c15-7caa-4c9f-bc53-e95ba831d05b","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Transform_jdis_Part_Information","LH_Master_Data","Transformation","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","c4c20f3d-0ec7-4671-af1c-46b50738dce7","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Transform_Jobs","LH_Master_Data","Transformation","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","090b12ba-72fd-496e-ab32-d2de8503870f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Transform_Parts","LH_Master_Data","Transformation","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","cf4277d9-3f11-4702-ac89-c3ee4ed39469","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Transform_Vehicles","LH_Master_Data","Transformation","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","5dc5a372-a221-420f-af2d-351e8dd8bc8c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_VHSTOCK_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","157b0f2d-0329-47ed-ab13-48289a34753c","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_VhStockAccess_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b5cb091c-a3e6-4f5a-b879-f9bbe18fdeed","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WarClaim_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d66e8fb1-33f5-4b95-b422-edf9cbc66602","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WARSUBCI_LABOUR_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b3742df-92e4-4f71-bd9b-8286108e1bf2","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WkCdDesc_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3738f1dc-7064-4a91-8391-81403d8aeb66","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKINVREG_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b0e46e25-4fe4-4b97-808e-0840a2347c18","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKMECHWK_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a5328184-b414-49f9-bdb7-ee361e774718","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKOTHSUB_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5398a34b-d479-4d89-8048-0c6e0823f7c4","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKRODESC_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1e6bc9c8-b408-4650-ac5d-9adf7213f500","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKROFILE_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","74c88e8e-8144-479b-a4be-f927bb1b9656","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_WKVEHFL_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","e21097ce-ae22-49e6-a639-15dcb7ef1eb6","b48cdb35-7ce3-46de-96df-d70db77649cb"
"Equipment Service - Data Quality Validation","LH_Master_Data","AdHoc","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","305b9935-ae1e-47b1-8289-4367786c4268","b48cdb35-7ce3-46de-96df-d70db77649cb"
