"Account Number","Engagement Level","Estimated Acres","Engaged Acre Breadth","Engaged Acre Depth","Highly Engaged Acres","Prepare Acres","Plant Acres","Apply Acres","Harvest Acres"
"14763","Highly Engaged Retained","","130.00","62.00","62.00","62.00","66.00","124.00","58.00"
"52179","Land & Digital","6000","5833.00","261.00","0.00","522.00","916.00","5833.00","0.00"
"30158","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33053","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32458","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36766","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31999","Highly Engaged","","4279.00","1987.00","1987.00","4241.00","1995.00","4067.00","1.00"
"11138","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"61399","Highly Engaged Retained","","2056.00","0.00","0.00","0.00","0.00","2056.00","0.00"
"1457","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12036","Highly Engaged Retained","","9458.00","1402.00","1402.00","8788.00","4758.00","3903.00","521.00"
"29944","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29651","Highly Engaged Retained","","8426.00","6649.00","6649.00","7520.00","7746.00","5041.00","7064.00"
"172","Land & Digital","","3153.00","0.00","0.00","2125.00","0.00","3088.00","0.00"
"347","Land & Digital","","3948.00","0.00","0.00","1.00","1.00","3948.00","0.00"
"30925","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"38601","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33346","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15216","Highly Engaged","","585.00","1.00","1.00","2.00","585.00","4.00","0.00"
"26074","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41690","Land & Digital","","4220.00","373.00","0.00","1092.00","611.00","3264.00","2227.00"
"16165","Highly Engaged Retained","","11055.00","6.00","6.00","7572.00","213.00","5626.00","0.00"
"33396","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18878","Highly Engaged Retained","","16291.00","8119.00","8119.00","3838.00","11737.00","15757.00","9925.00"
"42133","Land & Digital","8000","7552.00","3617.00","0.00","3363.00","5944.00","7435.00","1545.00"
"2017","Highly Engaged Retained","15000","15146.00","8037.00","8037.00","6182.00","12631.00","14484.00","5245.00"
"30119","Highly Engaged Retained","2300","4291.00","1008.00","1008.00","425.00","1758.00","4281.00","1981.00"
"1822","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37617","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64360","","","","","","","","",""
"29064","Highly Engaged Retained","5000","3248.00","1.00","1.00","1.00","3178.00","3239.00","0.00"
"26285","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33027","R12 Digitally Engaged","6500","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36991","R12 Digitally Engaged","8000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50896","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36854","Land & Digital","","189.00","0.00","0.00","0.00","0.00","189.00","93.00"
"63801","Highly Engaged Retained","","68.00","0.00","0.00","0.00","68.00","68.00","0.00"
"24999","Highly Engaged Retained","","11252.00","4451.00","4451.00","7134.00","10136.00","8137.00","3.00"
"41711","Highly Engaged Retained","3500","3642.00","2298.00","2298.00","2319.00","3110.00","3520.00","1504.00"
"1016","Land & Digital","15000","732.00","0.00","0.00","732.00","0.00","14.00","0.00"
"51229","Highly Engaged Retained","8000","5558.00","3027.00","3027.00","2499.00","3234.00","5486.00","3447.00"
"50836","Highly Engaged","8000","11977.00","6755.00","6755.00","5918.00","5603.00","11530.00","8855.00"
"53163","Highly Engaged Retained","","4017.00","3889.00","3889.00","3906.00","3966.00","3964.00","3867.00"
"55210","Highly Engaged Retained","10000","11022.00","4786.00","4786.00","358.00","5874.00","10940.00","6634.00"
"50437","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"52190","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53161","Land & Digital","","1528.00","52.00","0.00","398.00","1183.00","1338.00","0.00"
"51038","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50550","Highly Engaged","3500","4937.00","0.00","0.00","0.00","0.00","4936.00","3265.00"
"33271","R12 Digitally Engaged","5000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37793","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23171","Highly Engaged Retained","","13661.00","9615.00","9615.00","9760.00","12261.00","11554.00","3000.00"
"16718","Highly Engaged","","2035.00","25.00","25.00","2035.00","31.00","693.00","1.00"
"28263","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"152","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30466","Highly Engaged Retained","","4555.00","4134.00","4134.00","4339.00","4197.00","4545.00","327.00"
"32465","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36299","Highly Engaged Retained","","264.00","0.00","0.00","262.00","0.00","90.00","0.00"
"2205","Highly Engaged Retained","36000","4012.00","1926.00","1926.00","2398.00","3332.00","1447.00","2191.00"
"31169","Highly Engaged Retained","","5769.00","4901.00","4901.00","4994.00","5013.00","5701.00","1279.00"
"18247","R12 Digitally Engaged","7000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15843","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16592","Highly Engaged Retained","6000","13843.00","576.00","576.00","633.00","2156.00","13842.00","363.00"
"21317","Highly Engaged","6000","4325.00","324.00","324.00","1314.00","4186.00","1178.00","210.00"
"12706","Highly Engaged Retained","5000","480.00","1.00","1.00","1.00","2.00","2.00","480.00"
"15240","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16543","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31636","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"650","Highly Engaged Retained","","399.00","0.00","0.00","0.00","399.00","0.00","30.00"
"50126","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"553","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"874","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50477","Highly Engaged Retained","6000","1588.00","0.00","0.00","2.00","1175.00","1362.00","0.00"
"36998","Highly Engaged Retained","14000","9449.00","6784.00","6784.00","116.00","9087.00","9381.00","6827.00"
"50207","Land & Digital","10500","129.00","0.00","0.00","0.00","129.00","0.00","0.00"
"54297","Highly Engaged Retained","","4164.00","2444.00","2444.00","1439.00","2520.00","3423.00","3308.00"
"28928","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36347","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22102","Highly Engaged","","1761.00","40.00","40.00","140.00","1724.00","0.00","40.00"
"31513","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53619","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50208","Highly Engaged Retained","","3843.00","2782.00","2782.00","1923.00","2928.00","3772.00","2745.00"
"23847","Highly Engaged Retained","8000","3507.00","1926.00","1926.00","1918.00","3284.00","3177.00","449.00"
"28247","Highly Engaged Retained","6000","7722.00","2097.00","2097.00","5.00","5619.00","7259.00","2875.00"
"2259","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27926","Land & Digital","","7561.00","2.00","0.00","197.00","2.00","7561.00","0.00"
"29470","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"255","Land & Digital","","16702.00","12570.00","0.00","13436.00","12911.00","16386.00","4684.00"
"37478","Land & Digital","5000","2933.00","0.00","0.00","0.00","2933.00","0.00","0.00"
"25160","Land & Digital","","1089.00","312.00","0.00","793.00","1025.00","143.00","172.00"
"36232","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30404","Highly Engaged Retained","15000","8487.00","2944.00","2944.00","3889.00","6142.00","8039.00","540.00"
"31163","Highly Engaged Retained","7000","9041.00","7685.00","7685.00","8354.00","8276.00","8430.00","678.00"
"28540","Highly Engaged","2500","2593.00","0.00","0.00","224.00","0.00","2588.00","0.00"
"17248","Highly Engaged Retained","15000","15509.00","7657.00","7657.00","12060.00","11142.00","11659.00","2278.00"
"50755","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62389","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"698","Highly Engaged Retained","25000","37832.00","16222.00","16222.00","25472.00","19734.00","19037.00","22923.00"
"1578","Land & Digital","","4578.00","274.00","0.00","3985.00","3697.00","711.00","125.00"
"23170","Highly Engaged Retained","","13662.00","9149.00","9149.00","8192.00","9481.00","12925.00","9512.00"
"33276","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18697","Highly Engaged Retained","8000","3772.00","233.00","233.00","312.00","1181.00","3771.00","344.00"
"36562","Highly Engaged Retained","2000","4248.00","2.00","2.00","2.00","4174.00","4243.00","0.00"
"158","Land & Digital","","9608.00","0.00","0.00","3.00","0.00","9608.00","0.00"
"43139","Highly Engaged","","1549.00","0.00","0.00","1548.00","1.00","0.00","0.00"
"51090","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32121","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28508","Highly Engaged Retained","","8901.00","6180.00","6180.00","6951.00","7657.00","8609.00","1646.00"
"28460","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53938","Highly Engaged Retained","6000","6502.00","3899.00","3899.00","2432.00","5154.00","6184.00","3876.00"
"59806","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"453","Land & Digital","","7659.00","3999.00","0.00","7082.00","7439.00","4131.00","958.00"
"28450","Land & Digital","6000","7068.00","824.00","0.00","3887.00","1587.00","4207.00","0.00"
"35397","Highly Engaged Retained","","17063.00","12925.00","12925.00","14228.00","14406.00","16340.00","2926.00"
"2439","Highly Engaged Retained","","1866.00","0.00","0.00","16.00","0.00","1608.00","976.00"
"30707","Land & Digital","5000","2778.00","4.00","0.00","2205.00","1233.00","533.00","0.00"
"36644","Highly Engaged Retained","25000","16333.00","2354.00","2354.00","9509.00","7237.00","7408.00","2444.00"
"4923","Highly Engaged Retained","","3301.00","3.00","3.00","3.00","14.00","3265.00","191.00"
"52061","Highly Engaged Retained","","933.00","686.00","686.00","556.00","722.00","814.00","418.00"
"21367","Highly Engaged Retained","6500","6040.00","1866.00","1866.00","1662.00","4770.00","5773.00","760.00"
"35713","Highly Engaged Retained","","75.00","0.00","0.00","0.00","0.00","50.00","74.00"
"34262","Highly Engaged Retained","","2522.00","2298.00","2298.00","2458.00","2317.00","2396.00","1623.00"
"15697","Highly Engaged Retained","20000","18330.00","9228.00","9228.00","9496.00","12667.00","18042.00","4886.00"
"30362","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22333","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"40646","Highly Engaged","","4694.00","2.00","2.00","3.00","1394.00","4082.00","715.00"
"1768","Land & Digital","","1213.00","0.00","0.00","810.00","1009.00","0.00","0.00"
"41037","Highly Engaged Retained","","1449.00","663.00","663.00","1395.00","1438.00","703.00","0.00"
"33280","Highly Engaged Retained","","1523.00","322.00","322.00","1205.00","1517.00","401.00","30.00"
"791","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"17360","Land & Digital","","191.00","88.00","0.00","143.00","1.00","189.00","89.00"
"2051","Highly Engaged Retained","","8965.00","4084.00","4084.00","6119.00","6829.00","6618.00","2265.00"
"36610","Highly Engaged Retained","5000","6094.00","5424.00","5424.00","5832.00","5604.00","5617.00","2605.00"
"32995","Highly Engaged Retained","7500","3206.00","2823.00","2823.00","2677.00","3088.00","3061.00","1079.00"
"37925","Highly Engaged Retained","","758.00","39.00","39.00","441.00","532.00","266.00","14.00"
"26890","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33246","Highly Engaged Retained","6000","5579.00","5146.00","5146.00","5144.00","5336.00","5270.00","3505.00"
"37953","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28109","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28885","Highly Engaged Retained","","4281.00","815.00","815.00","4263.00","1956.00","835.00","496.00"
"38616","Highly Engaged Retained","8000","4531.00","4020.00","4020.00","1393.00","4236.00","4248.00","4064.00"
"61820","Highly Engaged Retained","6000","7218.00","3119.00","3119.00","2511.00","5634.00","7109.00","1567.00"
"59300","Land & Digital","","4073.00","1438.00","0.00","1.00","2031.00","4026.00","2959.00"
"19735","R12 Digitally Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28052","Highly Engaged Retained","","2042.00","885.00","885.00","1.00","1840.00","2036.00","918.00"
"19105","Highly Engaged Retained","","5303.00","3317.00","3317.00","2585.00","4254.00","5200.00","2660.00"
"28264","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3833","","","","","","","","",""
"53577","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29805","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33753","Highly Engaged","","3799.00","0.00","0.00","13.00","0.00","3799.00","0.00"
"25930","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28632","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21623","Highly Engaged Retained","5000","3039.00","2671.00","2671.00","2814.00","2862.00","2764.00","1291.00"
"2323","Highly Engaged Retained","15000","13586.00","3072.00","3072.00","3809.00","6933.00","13161.00","656.00"
"284","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1174","Highly Engaged Retained","","2738.00","1868.00","1868.00","1872.00","2389.00","1937.00","1313.00"
"19702","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30618","R12 Digitally Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26370","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50926","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2449","Land & Digital","","3257.00","713.00","0.00","384.00","1378.00","1510.00","2510.00"
"35938","Highly Engaged Retained","5000","2172.00","873.00","873.00","179.00","2136.00","2168.00","702.00"
"51963","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13396","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32746","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33357","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53894","Highly Engaged Retained","","10123.00","6887.00","6887.00","7837.00","9388.00","8374.00","0.00"
"54640","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"17467","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18681","Land & Digital","","6654.00","2.00","0.00","38.00","3.00","6654.00","0.00"
"21370","Highly Engaged Retained","","3393.00","883.00","883.00","2715.00","1900.00","2687.00","0.00"
"3607","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20451","Highly Engaged Retained","","4351.00","169.00","169.00","63.00","3224.00","3723.00","168.00"
"17824","R12 Digitally Engaged","4500","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1878","Land & Digital","","4881.00","1.00","0.00","1365.00","0.00","4879.00","1.00"
"33174","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16986","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30123","Highly Engaged Retained","3500","4535.00","1978.00","1978.00","2027.00","2183.00","4421.00","1923.00"
"13407","Land & Digital","","3457.00","0.00","0.00","2.00","0.00","3457.00","0.00"
"50586","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24415","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30165","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62444","Highly Engaged Retained","","9239.00","1766.00","1766.00","8521.00","2381.00","5165.00","982.00"
"32959","Highly Engaged Retained","","7832.00","5058.00","5058.00","2787.00","6169.00","7264.00","3981.00"
"37477","Highly Engaged Retained","","6994.00","2971.00","2971.00","5167.00","4249.00","5953.00","0.00"
"11013","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15267","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67750","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22972","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2126","Land & Digital","6000","6459.00","3575.00","0.00","4934.00","3914.00","6056.00","122.00"
"30591","Land & Digital","","5500.00","246.00","0.00","1579.00","462.00","5253.00","0.00"
"37346","Highly Engaged Retained","","4848.00","2361.00","2361.00","4524.00","3047.00","3529.00","3.00"
"52677","Highly Engaged Retained","","2941.00","1544.00","1544.00","2456.00","1763.00","2882.00","58.00"
"32906","Highly Engaged Retained","5000","3866.00","1.00","1.00","2.00","3703.00","3863.00","0.00"
"19185","Highly Engaged Retained","","2166.00","1952.00","1952.00","2083.00","2045.00","2131.00","603.00"
"13467","Highly Engaged Retained","","5683.00","1954.00","1954.00","5420.00","1984.00","3401.00","1.00"
"14603","Highly Engaged Retained","6000","2786.00","2605.00","2605.00","2644.00","2724.00","2748.00","10.00"
"26862","Highly Engaged Retained","","1902.00","0.00","0.00","1902.00","0.00","234.00","1.00"
"884","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15584","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19595","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21036","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16493","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"273","Land & Digital","","727.00","1.00","0.00","1.00","1.00","1.00","727.00"
"1583","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"59100","Land & Digital","","2521.00","117.00","0.00","2521.00","19.00","2333.00","107.00"
"57789","Highly Engaged Retained","","5098.00","1679.00","1679.00","5054.00","1716.00","2735.00","284.00"
"20480","Highly Engaged","","1059.00","0.00","0.00","0.00","1059.00","9.00","0.00"
"19741","Land & Digital","","2274.00","1524.00","0.00","1987.00","1530.00","2113.00","3.00"
"12540","Highly Engaged Retained","","1694.00","262.00","262.00","1257.00","1661.00","587.00","0.00"
"56658","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"263","","","","","","","","",""
"30832","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25691","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6058","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23464","Highly Engaged Retained","","13453.00","1499.00","1499.00","5691.00","4171.00","12103.00","0.00"
"22571","Land & Digital","5000","5954.00","1338.00","0.00","1588.00","2102.00","5647.00","0.00"
"26946","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36682","Highly Engaged Retained","","940.00","0.00","0.00","0.00","939.00","940.00","0.00"
"16544","Highly Engaged Retained","7200","8099.00","1715.00","1715.00","5309.00","3550.00","7819.00","29.00"
"17469","Highly Engaged","","3709.00","672.00","672.00","16.00","1019.00","3709.00","978.00"
"26048","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21372","Highly Engaged Retained","","980.00","0.00","0.00","284.00","0.00","0.00","696.00"
"16249","Highly Engaged Retained","","7307.00","4.00","4.00","17.00","7.00","7307.00","224.00"
"15120","R12 Digitally Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37054","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22565","Highly Engaged Retained","","2597.00","180.00","180.00","1.00","2545.00","2017.00","296.00"
"31341","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"57717","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62486","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32896","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50552","R12 Digitally Engaged","5000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25862","Highly Engaged Retained","","6764.00","5441.00","5441.00","5722.00","5903.00","6408.00","178.00"
"21776","Highly Engaged Retained","","1368.00","722.00","722.00","1162.00","727.00","1346.00","1.00"
"35208","Highly Engaged Retained","","4194.00","2902.00","2902.00","208.00","3164.00","4084.00","3613.00"
"37698","Highly Engaged Retained","","1740.00","0.00","0.00","1.00","1.00","1.00","1740.00"
"50578","Highly Engaged Retained","10000","6.00","0.00","0.00","6.00","0.00","0.00","0.00"
"133","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30637","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27205","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15904","Land & Digital","","633.00","0.00","0.00","633.00","0.00","1.00","2.00"
"34708","Highly Engaged Retained","","4746.00","1961.00","1961.00","182.00","3096.00","4737.00","2396.00"
"28694","Highly Engaged Retained","","799.00","0.00","0.00","1.00","419.00","799.00","58.00"
"27940","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15801","Highly Engaged Retained","4500","3456.00","1113.00","1113.00","2934.00","1647.00","2123.00","2.00"
"19738","Highly Engaged Retained","","3230.00","456.00","456.00","1479.00","1063.00","3160.00","150.00"
"14773","R12 Digitally Engaged","4000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33356","R12 Digitally Engaged","3000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24901","Highly Engaged Retained","","21939.00","0.00","0.00","0.00","0.00","21939.00","0.00"
"50541","Highly Engaged Retained","","5720.00","0.00","0.00","0.00","0.00","5720.00","0.00"
"43361","Highly Engaged Retained","10000","6790.00","5347.00","5347.00","5870.00","5366.00","6098.00","2571.00"
"51485","R12 Digitally Engaged","12000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"55468","Land & Digital","","3.00","0.00","0.00","0.00","0.00","3.00","3.00"
"23463","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23724","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27492","Highly Engaged Retained","","14162.00","9745.00","9745.00","10511.00","11911.00","11921.00","5704.00"
"29534","Highly Engaged Retained","7500","4048.00","159.00","159.00","1759.00","160.00","3449.00","0.00"
"50058","Highly Engaged","","845.00","0.00","0.00","287.00","606.00","0.00","0.00"
