FRANCHISE,PROD_GROUP,PartCount
M,DIVE LINE,1
M,EQUIPMENT,1
M,HYDRAILIC,1
M,JOHNSON'S,1
M,LAMEASBRG,1
M,MS AG CO.,1
M,NEW PARIS,1
M,NRTHCEDAR,1
M,OD KENNEY,1
M,READY BRG,1
M,REMLINGER,1
M,SHIELD AG,1
M,SOUTHWEST,1
M,STHWSTWHL,1
M,YESTERDAY,1
M,AEG PETROL,1
M,AMARILLO B,1
M,ATHENSPLOW,1
M,AUSTIN HOS,1
M,BATTERYJOE,1
M,CRUSTERBUS,1
M,D.L.INDUST,1
M,DAKOTA MIC,1
M,DRIVELINE,1
M,ENGINES IN,1
M,ENGINESINC,1
M,EQIPSERVCO,1
M,EQUIPSERVI,1
M,EQUIPSEVCO,1
M,EQUISERVCO,1
M,EQUPSERVCO,1
M,EUGENECRUM,1
M,FARMERS CO,1
M,FLUID LINE,1
M,GEEN PARTS,1
M,HOOD/COMPA,1
M,HYDRAULIC,1
M,JIM'S MACH,1
M,JIM'SMACHI,1
M,JIM;S MACH,1
M,LAMESA BRG,1
M,LUBBOCKBOL,1
M,MCWHORTERS,1
M,MODULEPART,1
M,NORTHEN/LU,1
M,NORTHENLUC,1
M,NORTHRN/LU,1
M,NRTHNLUCAS,1
M,O D KENNEY,1
M,PRICE REPA,1
M,REED-JOSEP,1
M,ROBERTSFAR,1
M,SAM STEVEN,1
M,SERVICETOO,1
M,SMITT'SMUF,1
M,SRING CREE,1
M,SUN VALLEY,1
M,TERRYCOUNT,1
M,TEXAS TOOL,1
M,TIMANDREWS,1
M,TRACTORSUP,1
M,VINTAGEPAR,1
M,WESRENMARK,1
M,WESTENDORF,1
M,WESTERN MA,1
M,WESTERNMRT,1
M,YETTER MFG,1
MC,CRUSTBUSTE,68
MC,CB,16
MC,CRUST,5
MC,CRUSTERBUS,3
MC,CRUSTBUST,2
MC,GP,1
MC,COTTON,1
ME,PECAN,2
MG,GREATPLAIN,149
MG,GP,54
MG,GREAT PLAI,11
MG,LANDPRIDE,10
MG,LP,2
MG,LAND,2
MG,BECKNELL,1
MG,BUGSPRING,1
MG,GRET PLAIN,1
MG,LAND PRIDE,1
MH,HONDA,120
MH,LIGHTBOURN,2
MH,NORTHCEDAR,1
MH,NTH CEDAR,1
ML,LANDOLL,16
ML,LANDOLL CO,1
MM,MI-T-M,51
MM,MITM,37
MM,TOOL,2
MM,MISC,1
MN,NICHOLS,20
MN,NICH,10
MN,TILLAGE,2
MN,SS,1
MN,TILL,1
MO,ORTHMAN,12
MO,ORTH,2
MO,TRAC,1
MR,RHNO,24
MR,RHINO AG,15
MR,RHINO,9
MR,RHINOAG,9
MR,ALAMO SALE,5
MR,ALAMO,3
MR,BH,2
MR,BUSH HOG,2
MR,BUSH,1
MR,ALAMOT,1
MS,STIHL,308
MS,STHL,17
MS,HTE,2
MW,WOODS,11
MW,WOOD,3
MW,WOODS EQUI,1
P,AMADAS,151
P,AGRI,2
P,LBB,1
P,PEANUT,1
P,mamadas,1
RC,RAC,30
RC,ROLLACONE,27
RC,ROLL-A-CON,2
RC,ROC,1
RC,MISC,1
RC,ROLL,1
RM,RAM,1
S,BOSCH,1
SC,SCHULTE,40
SC,MISC,5
SS,SAMSTEVENS,70
SS,SS,54
SS,SAM STEVEN,35
SS,BECKNELL,1
TD,OIL,2
UD,OIL,3
